# TotalStack Service Build Queue
# Format: SERVICE_NAME | STATUS | PRIORITY | TYPE | OPS_COUNT | NOTES
# STATUS: done, pending, in_progress, skipped
# PRIORITY: 1=TiER1-critical, 2=TIER2-high, 3=TIER2-medium, 4=TIER3-nice, 5=GRAY
# TYPE: PURE (build from AWS docs), OSS_WRAP (AWS docs + upstream OSS docs), 
#       SKIP_DEPRECATED, SKIP_HARDWARE, SKIP_MANAGEMENT, SKIP_NICHE, SKIP_GRAY
#
# See: specs/aws/SERVICE-CLASSIFICATION.md for full strategy
# See: specs/aws/oss-upstream-docs.yaml for OSS version tracking

# ===== TIER 1 — DONE (19 services) =====
translate | done | 1 | PURE | 19 | Simple stateless API
cognito-idp | done | 1 | PURE | 50 | User pools + identity
xray | done | 1 | PURE | 20 | Distributed tracing
codecommit | done | 2 | PURE | 10 | Git repos
athena | done | 2 | PURE | 20 | SQL on S3
textract | done | 2 | PURE | 15 | Document analysis
elasticache | done | 2 | OSS_WRAP | 30 | Redis/Memcached (OSS wrapper)
rekognition | done | 2 | PURE | 25 | Image/video analysis
codebuild | done | 3 | PURE | 20 | Managed builds
codedeploy | done | 3 | PURE | 15 | Deployment automation
codeartifact | done | 3 | PURE | 15 | Package registry
mediaconvert | done | 3 | PURE | 20 | Media transcoding
neptune | done | 3 | OSS_WRAP | 25 | Graph DB (Gremlin/SPARQL/Cypher)
organizations | done | 4 | PURE | 30 | Multi-account management
servicecatalog | done | 4 | PURE | 10 | CloudFormation catalog
shield | done | 4 | PURE | 10 | DDoS protection
wafv2 | done | 4 | PURE | 15 | WAF rules v2
lightsail | done | 4 | PURE | 20 | Virtual servers
transfer | done | 4 | PURE | 15 | SFTP/FTPS

# ===== TIER 2 CRITICAL — build next (8 services) =====
rds | done | 1 | OSS_WRAP | 50 | #1 most-requested; MySQL/PostgreSQL/MariaDB
cloudfront | done | 1 | PURE | 30 | CDN; S3+CloudFront static hosting
cloudtrail | done | 1 | PURE | 15 | API audit logs; critical for IAM
cognito-identity | done | 1 | PURE | 10 | Identity pools (user pools already done)
ecr | done | 1 | PURE | 15 | Container registry; required by ECS/EKS
application-autoscaling | done | 1 | PURE | 10 | Dynamic scaling for ECS/DynamoDB
ssm | done | 1 | PURE | 30 | Parameter Store heavily used in CI/CD
autoscaling | done | 1 | PURE | 15 | EC2 auto-scaling groups

# ===== TIER 2 HIGH — build soon (12 services) =====
kinesis | done | 2 | PURE | 15 | Real-time streaming
glue | done | 2 | OSS_WRAP | 40 | ETL + Data Catalog (Spark/Ray)
efs | done | 2 | PURE | 15 | NFS for Lambda/ECS/EC2
acm | done | 2 | PURE | 16 | TLS certificates — 22/22 integration tests
eks | done | 2 | OSS_WRAP | 20 | Kubernetes — 34 handlers, 40/40 integration tests
codepipeline | done | 2 | PURE | 15 | CI/CD pipeline orchestration
batch | done | 2 | PURE | 20 | Batch computing
docdb | done | 2 | OSS_WRAP | 30 | MongoDB API-compatible (proprietary engine)
sesv2 | done | 2 | PURE | 20 | Email sending
s3tables | done | 2 | PURE | 15 | Iceberg-compatible tables — 20 handlers, 36 int tests, 2 E2E smoke
mq | done | 2 | OSS_WRAP | 20 | ActiveMQ/RabbitMQ — 20 handlers, 32 int tests, 2 E2E smoke
backup | done | 2 | PURE | 15 | Centralized backup management — 20 handlers, 16 int tests, 2 E2E smoke

# ===== TIER 2 MEDIUM — build later (15 services) =====
redshift | done | 3 | PURE | 40 | Data warehousing — 25 handlers, 44/44 int tests
emr | done | 3 | OSS_WRAP | 30 | Big data — 23 handlers, 25/25 int tests
mwaa | done | 3 | OSS_WRAP | 20 | Managed Airflow — 12 handlers, 24/24 int tests
kafka | done | 3 | OSS_WRAP | 30 | MSK (Apache Kafka) — 21 handlers, 24/24 int tests
opensearchserverless | done | 3 | OSS_WRAP | 20 | OpenSearch/Elasticsearch — 23 handlers, 32/32 int tests, 3 E2E smoke
appsync | done | 3 | PURE | 20 | GraphQL API — 22 handlers, 26/26 int tests, 3 E2E smoke
appconfig | done | 3 | PURE | 10 | Feature flags — 18 handlers, 17/17 int tests, 2 E2E smoke
bedrock | done | 3 | PURE | 30 | AI/ML foundation models — 22 handlers, 31 int, 6 E2E
bedrock-agent | done | 3 | PURE | 15 | AI agents — 19 handlers, 23 int, 4 E2E
bedrock-runtime | done | 3 | PURE | 10 | Model invocation — 10 handlers, 15 int tests, 4 E2E smoke
memorydb | done | 3 | OSS_WRAP | 20 | Durable Redis-compatible — 27 handlers, 27 int tests, 3 E2E
keyspaces | done | 3 | OSS_WRAP | 20 | Cassandra CQL 3.11 — 18 handlers, 13 int tests, 2 E2E
timestream-influxdb | done | 3 | OSS_WRAP | 15 | InfluxDB 3.x — 19 handlers, 34 int tests, 2 E2E smoke
grafana | done | 3 | OSS_WRAP | 15 | Managed Grafana — 16 handlers, 22 int tests, 2 E2E smoke
dynamodbstreams | in_progress | 3 | PURE | 10 | CDC for DynamoDB

# ===== TIER 3 — nice to have (build as needed, ~30 services) =====
appmesh | pending | 4 | PURE | 15 | Service mesh
amplify | pending | 4 | PURE | 20 | Frontend hosting
sagemaker | pending | 4 | PURE | 50 | Very complex; rarely tested locally
comprehend | pending | 4 | PURE | 15 | NLP
polly | pending | 4 | PURE | 10 | Text-to-speech
transcribe | pending | 4 | PURE | 15 | Speech-to-text
lexv2-models | pending | 4 | PURE | 15 | Chatbot
lexv2-runtime | pending | 4 | PURE | 5 | Chatbot runtime
iot | pending | 4 | PURE | 30 | IoT device management
iot-data | pending | 4 | PURE | 10 | IoT data plane
greengrassv2 | pending | 4 | PURE | 20 | Edge runtime
fis | pending | 4 | PURE | 15 | Chaos engineering
dms | pending | 4 | PURE | 40 | Database migration
ram | pending | 4 | PURE | 15 | Cross-account sharing
sso-admin | pending | 4 | PURE | 20 | Enterprise SSO
identitystore | pending | 4 | PURE | 10 | Identity directory
fsx | pending | 4 | PURE | 20 | Managed file systems
globalaccelerator | pending | 4 | PURE | 10 | Network optimization
network-firewall | pending | 4 | PURE | 15 | Network filtering
datasync | pending | 4 | PURE | 15 | Data transfer
storagegateway | pending | 4 | PURE | 15 | On-prem bridge
verifiedpermissions | pending | 4 | PURE | 10 | Cedar policy engine
signer | pending | 4 | PURE | 10 | Code signing
rolesanywhere | pending | 4 | PURE | 10 | IAM roles anywhere
amp | pending | 4 | OSS_WRAP | 10 | Prometheus API
kendra | pending | 4 | PURE | 20 | Enterprise search
quicksight | pending | 4 | PURE | 50 | BI dashboard
forecast | pending | 4 | PURE | 15 | Time-series forecasting
frauddetector | pending | 4 | PURE | 20 | Fraud detection
personalize | pending | 4 | PURE | 20 | Recommendation engine

# ===== TIER 4A — DEPRECATED (skip, ~55 services) =====
sdb | skipped | 5 | SKIP_DEPRECATED | ? | SimpleDB — no new customers Jul 2024
cloudsearch | skipped | 5 | SKIP_DEPRECATED | ? | No new customers Jul 2024
cloudsearchdomain | skipped | 5 | SKIP_DEPRECATED | ? | CloudSearch data plane
cloud9 | skipped | 5 | SKIP_DEPRECATED | ? | No new customers Jul 2024
clouddirectory | skipped | 5 | SKIP_DEPRECATED | ? | Maintenance mode Oct 2025
forecast | skipped | 5 | SKIP_DEPRECATED | ? | No new customers Jul 2024
forecastquery | skipped | 5 | SKIP_DEPRECATED | ? | Forecast data plane
datapipeline | skipped | 5 | SKIP_DEPRECATED | ? | No new customers Jul 2024
codecommit | skipped | 5 | SKIP_DEPRECATED | ? | Already done. Deprecated Jun 2025 — remove?
codestar-connections | skipped | 5 | SKIP_DEPRECATED | ? | No new customers Jul 2024
codestar-notifications | skipped | 5 | SKIP_DEPRECATED | ? | No new customers Jul 2024
cognito-sync | skipped | 5 | SKIP_DEPRECATED | ? | Deprecated; use AppSync
iotevents | skipped | 5 | SKIP_DEPRECATED | ? | Maintenance mode May 2025
iotevents-data | skipped | 5 | SKIP_DEPRECATED | ? | IoT Events data plane
simspaceweaver | skipped | 5 | SKIP_DEPRECATED | ? | Maintenance mode May 2025
panorama | skipped | 5 | SKIP_DEPRECATED | ? | Maintenance mode May 2025
voice-id | skipped | 5 | SKIP_DEPRECATED | ? | Maintenance mode May 2025
inspector | skipped | 5 | SKIP_DEPRECATED | ? | Classic Inspector — deprecated
codecatalyst | skipped | 5 | SKIP_DEPRECATED | ? | Maintenance mode Oct 2025
importexport | skipped | 5 | SKIP_DEPRECATED | ? | Deprecated; use Snowball
snowball | skipped | 5 | SKIP_DEPRECATED | ? | Deprecated; deprecated variants Nov 2024-25
machinelearning | skipped | 5 | SKIP_DEPRECATED | ? | Deprecated; use SageMaker
workdocs | skipped | 5 | SKIP_DEPRECATED | ? | Full shutdown Apr 2025
serverlessrepo | skipped | 5 | SKIP_DEPRECATED | ? | SAR; declining, no new features
glacier | skipped | 5 | SKIP_DEPRECATED | ? | Classic Glacier API — End 2025
waf | skipped | 5 | SKIP_DEPRECATED | ? | WAF Classic — End 2025
waf-regional | skipped | 5 | SKIP_DEPRECATED | ? | WAF Classic regional
elastictranscoder | skipped | 5 | SKIP_DEPRECATED | ? | Full shutdown Nov 2025
mediastore | skipped | 5 | SKIP_DEPRECATED | ? | Full shutdown Nov 2025
mediastore-data | skipped | 5 | SKIP_DEPRECATED | ? | MediaStore data plane
lookoutequipment | skipped | 5 | SKIP_DEPRECATED | ? | Full shutdown Oct 2025
kinesisanalytics | skipped | 5 | SKIP_DEPRECATED | ? | SQL variant — Jan 2026 shutdown
iotthingsgraph | skipped | 5 | SKIP_DEPRECATED | ? | Full shutdown Nov 2022
lakeformation | skipped | 5 | SKIP_DEPRECATED | ? | Governed Tables — Dec 2024 shutdown
timestream-query | skipped | 5 | SKIP_DEPRECATED | ? | LiveAnalytics — Oct 2025 maintenance
timestream-write | skipped | 5 | SKIP_DEPRECATED | ? | LiveAnalytics — Oct 2025 maintenance
workmail | skipped | 5 | SKIP_DEPRECATED | ? | Declining; not worth new dev
workmailmessageflow | skipped | 5 | SKIP_DEPRECATED | ? | WorkMail data plane
finspace | skipped | 5 | SKIP_DEPRECATED | ? | FinSpace — declining
finspace-data | skipped | 5 | SKIP_DEPRECATED | ? | FinSpace data plane

# ===== TIER 4B — HARDWARE (skip, ~9 services) =====
outposts | skipped | 5 | SKIP_HARDWARE | ? | Physical rack — hardware
groundstation | skipped | 5 | SKIP_HARDWARE | ? | Satellite antennas — hardware
braket | skipped | 5 | SKIP_HARDWARE | ? | Quantum computers — hardware
devicefarm | skipped | 5 | SKIP_HARDWARE | ? | Physical mobile devices — hardware
directconnect | skipped | 5 | SKIP_HARDWARE | ? | Physical fiber — hardware
interconnect | skipped | 5 | SKIP_HARDWARE | ? | Same as DirectConnect
gamelift | skipped | 5 | SKIP_HARDWARE | ? | Real-time game servers — infeasible
gameliftstreams | skipped | 5 | SKIP_HARDWARE | ? | Game streaming — infeasible

# ===== TIER 4C — MANAGEMENT WRAPPERS (skip, ~14 services) =====
controltower | skipped | 5 | SKIP_MANAGEMENT | ? | Orchestrates Org+Config+CT+SSO+SC
servicecatalog-appregistry | skipped | 5 | SKIP_MANAGEMENT | ? | App registry for SC
resource-groups | skipped | 5 | SKIP_MANAGEMENT | ? | Tag-based grouping
resource-explorer-2 | skipped | 5 | SKIP_MANAGEMENT | ? | Resource search
support | skipped | 5 | SKIP_MANAGEMENT | ? | AWS internal support API
support-app | skipped | 5 | SKIP_MANAGEMENT | ? | Support Slack app
account | skipped | 5 | SKIP_MANAGEMENT | ? | Account management
ce | skipped | 5 | SKIP_MANAGEMENT | ? | Cost Explorer — meaningless locally
trustedadvisor | skipped | 5 | SKIP_MANAGEMENT | ? | AWS best-practice checks
license-manager | skipped | 5 | SKIP_MANAGEMENT | ? | Useless locally
license-manager-linux-subscriptions | skipped | 5 | SKIP_MANAGEMENT | ? | Linux license tracking
license-manager-user-subscriptions | skipped | 5 | SKIP_MANAGEMENT | ? | User license tracking
budgets | skipped | 5 | SKIP_MANAGEMENT | ? | Budget tracking — meaningless locally
bcm-pricing-calculator | skipped | 5 | SKIP_MANAGEMENT | ? | Pricing calculator — meaningless
cur | skipped | 5 | SKIP_MANAGEMENT | ? | Cost & Usage Report — meaningless
health | skipped | 5 | SKIP_MANAGEMENT | ? | AWS service health dashboard
compute-optimizer | skipped | 5 | SKIP_MANAGEMENT | ? | AWS telemetry-based
compute-optimizer-automation | skipped | 5 | SKIP_MANAGEMENT | ? | Compute optimizer automation
cost-optimization-hub | skipped | 5 | SKIP_MANAGEMENT | ? | Cost recommendations
freetier | skipped | 5 | SKIP_MANAGEMENT | ? | Free tier tracking — meaningless
iq | skipped | 5 | SKIP_MANAGEMENT | ? | Human marketplace; deprecated anyway
taxsettings | skipped | 5 | SKIP_MANAGEMENT | ? | Tax settings
invoicing | skipped | 5 | SKIP_MANAGEMENT | ? | Invoicing

# ===== TIER 4D — ULTRA NICHE (skip, ~30+ services) =====
managedblockchain | skipped | 5 | SKIP_NICHE | ? | <0.01% of AWS customers
managedblockchain-query | skipped | 5 | SKIP_NICHE | ? | Blockchain data plane
kendra-ranking | skipped | 5 | SKIP_NICHE | ? | Rescore Kendra results
comprehendmedical | skipped | 5 | SKIP_NICHE | ? | Medical NLP — ultra-niche
healthlake | skipped | 5 | SKIP_NICHE | ? | Healthcare data lake
